"nge_object_id","field_search_id","sport_name","description","image_url","detect_confidence","predicted_field_type","predicted_sport","predicted_field_type_probability","predicted_sport_type_probability","predicted_large_field_type","predicted_large_sport","large_predicted_field_type_probability","large_predicted_sport_type_probability","detected_sport"
797,9740,"Tennis","box: (x1, y1) = (122,247), (x2, y2) = (149,2), width = 27 height = 60 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.6689941056015, -122.34289830774709","https://earth.google.com/web/@47.6689941056015,-122.34289830774709,4.1972381a,15000d","0.90, 0.89, 0.87, 0.88, 0.88, 0.86, 0.86, 0.84, 0.82, 0.80, 0.62, 0.56","Synthetic","Tennis","0.983543634414673","0.889850854873657","Grass","Soccer","0.949122965335846","0.890785217285156","Tennis, Baseball"
798,9740,"Tennis","box: (x1, y1) = (122,0), (x2, y2) = (150,2), width = 28 height = 28 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.66963389808994, -122.34289469527278","https://earth.google.com/web/@47.66963389808994,-122.34289469527278,4.1972381a,15000d","0.89, 0.89, 0.87, 0.88, 0.88, 0.86, 0.85, 0.72, 0.68, 0.52, 0.46","Synthetic","Tennis","0.999759018421173","0.998844981193542","Grass","Soccer","0.919364273548126","0.930327653884888","Tennis, Baseball"
799,9740,"Tennis","box: (x1, y1) = (88,156), (x2, y2) = (112,2), width = 24 height = 60 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.66921547955523, -122.34302474434789","https://earth.google.com/web/@47.66921547955523,-122.34302474434789,4.1972381a,15000d","0.89, 0.88, 0.86, 0.87, 0.87, 0.85, 0.85, 0.82, 0.67, 0.65, 0.64, 0.55, 0.45","Synthetic","Tennis","0.999996542930603","0.999998927116394","Grass","Soccer","0.990694761276245","0.875915825366974","Tennis, Baseball"
800,9740,"Soccer","box: (x1, y1) = (264,1), (x2, y2) = (611,2), width = 347 height = 244 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.66936873789621, -122.34180734050591","https://earth.google.com/web/@47.66936873789621,-122.34180734050591,4.1972381a,15000d","0.92, 0.90, 0.87, 0.89, 0.87, 0.87, 0.86, 0.85, 0.85, 0.80, 0.79, 0.72","Grass","Soccer","0.974067509174347","0.997241973876953","Grass","Soccer","0.899233520030975","0.990060329437256","Soccer, Tennis, Baseball"
801,9740,"Tennis","box: (x1, y1) = (88,339), (x2, y2) = (113,2), width = 25 height = 61 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.66877029801246, -122.34302474434789","https://earth.google.com/web/@47.66877029801246,-122.34302474434789,4.1972381a,15000d","0.88, 0.88, 0.86, 0.87, 0.87, 0.85, 0.76, 0.73, 0.72, 0.64","Synthetic","Tennis","0.999998092651367","0.999905228614807","Grass","Soccer","0.992693305015564","0.812119722366333","Tennis, Baseball"
802,9740,"Tennis","box: (x1, y1) = (88,246), (x2, y2) = (113,2), width = 25 height = 62 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.6689941056015, -122.34302474434789","https://earth.google.com/web/@47.6689941056015,-122.34302474434789,4.1972381a,15000d","0.90, 0.89, 0.86, 0.88, 0.88, 0.85, 0.84, 0.84, 0.70, 0.58, 0.58, 0.54, 0.47","Synthetic","Tennis","0.99999988079071","0.999776780605316","Grass","Soccer","0.991353213787079","0.860929191112518","Tennis, Baseball"
910,9740,"Tennis","box: (x1, y1) = (123,157), (x2, y2) = (150,2), width = 27 height = 60 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.66921304687952, -122.34289469527278","https://earth.google.com/web/@47.66921304687952,-122.34289469527278,4.1972381a,15000d","0.88, 0.88, 0.87, 0.88, 0.88, 0.86, 0.85, 0.81, 0.81, 0.79, 0.65, 0.54, 0.51","Synthetic","Tennis","0.997136950492859","0.995272219181061","Grass","Soccer","0.953864872455597","0.916105031967163","Tennis, Baseball"
911,9740,"Tennis","box: (x1, y1) = (124,59), (x2, y2) = (150,2), width = 26 height = 60 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.669451448559926, -122.34289108279847","https://earth.google.com/web/@47.669451448559926,-122.34289108279847,4.1972381a,15000d","0.89, 0.88, 0.86, 0.87, 0.87, 0.85, 0.84, 0.84, 0.76, 0.68, 0.68, 0.67, 0.60","Synthetic","Tennis","0.947600960731506","0.602970898151398","Grass","Soccer","0.912564337253571","0.931040644645691","Tennis, Baseball"
912,9740,"Tennis","box: (x1, y1) = (122,339), (x2, y2) = (149,2), width = 27 height = 60 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.66877029801246, -122.34289830774709","https://earth.google.com/web/@47.66877029801246,-122.34289830774709,4.1972381a,15000d","0.90, 0.87, 0.84, 0.87, 0.86, 0.83, 0.82, 0.78, 0.69","Synthetic","Tennis","0.600527942180634","0.947307765483856","Grass","Soccer","0.98341178894043","0.859649121761322","Tennis, Baseball"
913,9740,"Tennis","box: (x1, y1) = (122,247), (x2, y2) = (149,2), width = 27 height = 60 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.6689941056015, -122.34289830774709","https://earth.google.com/web/@47.6689941056015,-122.34289830774709,4.1972381a,15000d","0.90, 0.89, 0.87, 0.88, 0.88, 0.86, 0.86, 0.84, 0.82, 0.80, 0.62, 0.56","Synthetic","Tennis","0.983543634414673","0.889850854873657","Grass","Soccer","0.949122965335846","0.890785217285156","Tennis, Baseball"
