                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2785,                 1.0205,                 1.2551,                0.85536,                0.71001,                 0.7655,                0.40002,                 1.7581,                 1.4626,                 1.6544,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3147,                 1.0664,                 1.2932,                0.78573,                   0.64,                0.68189,                0.35273,                 1.9412,                 1.7904,                 1.7434,               0.008317,               0.008317,               0.008317
                     36,                 1.4364,                 1.1206,                 1.3274,                0.85208,                    0.8,                0.86469,                0.49666,                 1.5517,                 1.3102,                 1.3979,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.2075,                0.94398,                 1.2073,                0.89888,                   0.88,                0.92108,                0.48048,                 1.5576,                 1.3127,                 1.4654,               0.008218,               0.008218,               0.008218
                     38,                 1.2625,                 1.0215,                 1.2399,                0.95279,                0.80754,                0.96242,                0.48172,                 1.6323,                 1.2751,                 1.4418,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.2582,                 1.0418,                 1.2372,                0.95533,                   0.88,                0.94322,                0.55293,                 1.5438,                 1.1827,                 1.4312,               0.008119,               0.008119,               0.008119
                     40,                 1.2648,                  1.009,                 1.2515,                0.94851,                   0.88,                0.97531,                0.60298,                 1.3807,                 1.1734,                 1.2107,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.2428,                 1.0144,                 1.2333,                0.88831,                      1,                0.96148,                 0.5107,                 1.6313,                 1.1189,                 1.4217,                0.00802,                0.00802,                0.00802
                     42,                 1.2435,                  1.027,                 1.2228,                0.90027,                   0.88,                0.93017,                0.52523,                 1.4958,                 1.2937,                 1.3039,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2878,                 1.0844,                 1.2672,                0.90989,                   0.88,                0.92951,                0.53329,                 1.5602,                 1.1619,                   1.38,               0.007921,               0.007921,               0.007921
                     44,                  1.212,                 1.0077,                 1.2129,                      1,                0.95347,                0.99204,                0.59438,                 1.3701,                0.96023,                 1.2725,              0.0078715,              0.0078715,              0.0078715
                     45,                  1.224,                 1.0316,                 1.2446,                0.92277,                  0.956,                0.93489,                0.50657,                 1.5931,                 0.9975,                 1.4062,               0.007822,               0.007822,               0.007822
                     46,                 1.2053,                0.95485,                 1.2159,                0.89187,                   0.84,                0.88367,                0.57318,                 1.2688,                 1.1229,                 1.2324,              0.0077725,              0.0077725,              0.0077725
                     47,                  1.211,                0.94431,                 1.2494,                0.91025,                   0.84,                0.93886,                0.57158,                   1.38,                 1.0892,                 1.2412,               0.007723,               0.007723,               0.007723
                     48,                 1.2235,                 0.9618,                 1.2378,                0.84628,                   0.92,                0.94362,                0.56795,                 1.4333,                0.96446,                  1.254,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.1542,                0.88713,                  1.197,                0.85699,                0.95886,                 0.9586,                0.60087,                 1.3061,                0.89671,                 1.1845,               0.007624,               0.007624,               0.007624
                     50,                  1.179,                0.94851,                 1.2154,                0.92279,                0.95626,                0.98108,                0.58503,                 1.3559,                0.90047,                 1.2337,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.1796,                0.88018,                 1.2189,                0.97964,                   0.92,                0.98764,                 0.5961,                 1.3364,                0.87654,                 1.2959,               0.007525,               0.007525,               0.007525
                     52,                 1.1909,                0.89978,                  1.176,                0.98828,                   0.92,                0.98643,                0.61959,                 1.3388,                0.86671,                 1.3193,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.1999,                0.97103,                 1.2273,                 0.9498,                   0.96,                0.98673,                 0.6162,                 1.3158,                0.85661,                 1.3005,               0.007426,               0.007426,               0.007426
                     54,                 1.1806,                 0.8693,                  1.198,                0.95986,                0.95659,                0.98513,                0.58123,                 1.4875,                 0.8732,                 1.3978,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1053,                0.83129,                 1.1885,                0.85829,                   0.92,                0.92901,                0.55657,                 1.4557,                0.99445,                 1.4412,               0.007327,               0.007327,               0.007327
                     56,                 1.2102,                 0.9094,                 1.2175,                0.89271,                0.99851,                 0.9369,                0.57574,                 1.3709,                0.94072,                 1.3624,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2415,                0.88285,                 1.2364,                0.85991,                   0.92,                0.90891,                0.51924,                 1.4447,                 1.0746,                 1.4397,               0.007228,               0.007228,               0.007228
                     58,                 1.1447,                0.88192,                 1.1935,                0.87181,                   0.92,                0.87752,                0.53634,                 1.4455,                 1.0498,                 1.4546,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0993,                0.92173,                 1.1935,                0.95803,                0.91321,                0.93299,                0.50645,                 1.5575,                 1.0786,                 1.5427,               0.007129,               0.007129,               0.007129
                     60,                 1.2034,                0.94652,                 1.2311,                0.93867,                   0.88,                0.92273,                0.55641,                 1.4206,                0.95417,                 1.4079,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1171,                0.85256,                 1.2096,                0.87858,                0.86867,                 0.9263,                0.52367,                 1.5357,                  1.015,                 1.5107,                0.00703,                0.00703,                0.00703
                     62,                 1.1477,                0.88526,                 1.2035,                0.90827,                   0.92,                0.92969,                0.51648,                 1.4913,                 1.0143,                 1.4447,              0.0069805,              0.0069805,              0.0069805
                     63,                   1.11,                0.83425,                 1.1921,                0.91717,                0.88608,                 0.9711,                0.59362,                 1.3213,                0.98996,                 1.2966,               0.006931,               0.006931,               0.006931
                     64,                 1.1585,                 0.8442,                 1.1966,                0.89637,                   0.88,                0.94056,                0.57533,                 1.4043,                 0.9881,                 1.3311,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1185,                0.83519,                 1.1808,                0.88563,                   0.96,                0.95556,                0.52157,                 1.5318,                 1.0192,                 1.3775,               0.006832,               0.006832,               0.006832
                     66,                 1.0766,                0.81087,                 1.1515,                0.95831,                0.91942,                0.97459,                0.62046,                 1.3178,                0.95509,                 1.2396,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.2533,                0.90758,                 1.2719,                 0.8564,                   0.96,                0.88508,                 0.4823,                 1.5176,                0.94523,                 1.3374,               0.006733,               0.006733,               0.006733
                     68,                 1.0691,                0.79827,                 1.1424,                0.81966,                   0.92,                0.86959,                0.48943,                 1.5307,                 1.0026,                 1.3093,              0.0066835,              0.0066835,              0.0066835
